nohup: ignoring input
/home/skyvision/.local/lib/python3.10/site-packages/torch/nn/modules/rnn.py:123: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=Inception_V3_Weights.IMAGENET1K_V1`. You can also use `weights=Inception_V3_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using device: cuda:0
Visible GPU IDs for training: [0]
Using Automatic Mixed Precision (AMP)
Train dataset size: 8855 | Batches: 368
Validation dataset size: 2933 | Batches: 123
Variant settings: variant=baseline, attention_mode=none, spectral_norm=off, mhsa_heads=4
Resumed from checkpoint epoch 7
Resumed best_val_loss: 5.2814
Step [2642] | D_Loss: 0.2611 | G_Loss: 12.4049 | G_GAN: 12.3583 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0233 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2643] | D_Loss: 0.3647 | G_Loss: 11.0353 | G_GAN: 10.9876 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0239 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2644] | D_Loss: 0.2283 | G_Loss: 12.8585 | G_GAN: 12.8181 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0202 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2645] | D_Loss: 0.2729 | G_Loss: 11.9610 | G_GAN: 11.9150 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0230 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2646] | D_Loss: 0.1629 | G_Loss: 12.3337 | G_GAN: 12.2870 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0234 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2647] | D_Loss: 0.5920 | G_Loss: 13.2045 | G_GAN: 13.1560 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0242 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2648] | D_Loss: 0.2199 | G_Loss: 17.5567 | G_GAN: 17.5093 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0237 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2649] | D_Loss: 0.2148 | G_Loss: 16.1138 | G_GAN: 16.0659 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0239 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2650] | D_Loss: 0.6768 | G_Loss: 11.7709 | G_GAN: 11.7289 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0210 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2651] | D_Loss: 0.3677 | G_Loss: 13.7491 | G_GAN: 13.7033 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0229 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
