/home/skyvision/.local/lib/python3.10/site-packages/torch/nn/modules/rnn.py:123: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=Inception_V3_Weights.IMAGENET1K_V1`. You can also use `weights=Inception_V3_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using device: cuda:0
Visible GPU IDs for training: [0]
Train dataset size: 8855 | Batches: 2213
Validation dataset size: 2933 | Batches: 734
Variant settings: variant=attenx_mhsa, attention_mode=multihead, spectral_norm=on, mhsa_heads=4
Loaded pretrained DAMSM text encoder weights from: ./checkpoints/damsm_quick/damsm_latest.pth (9/9 tensors)
Loaded pretrained DAMSM image encoder weights from: ./checkpoints/damsm_quick/damsm_latest.pth (567/567 tensors)
Step [43] | D_Loss: 0.9413 | G_Loss: 2.4594 | G_GAN: 7.2955 | L_Words: -0.9981 | L_Sent: 0.0008 | L_DAMSM: -0.9972 | L_KL: 0.0750 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [44] | D_Loss: 0.9783 | G_Loss: 3.4385 | G_GAN: 8.2684 | L_Words: -0.9979 | L_Sent: 0.0020 | L_DAMSM: -0.9959 | L_KL: 0.0747 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [45] | D_Loss: 1.2128 | G_Loss: 1.6347 | G_GAN: 6.4561 | L_Words: -0.9978 | L_Sent: 0.0037 | L_DAMSM: -0.9941 | L_KL: 0.0745 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [46] | D_Loss: 1.0345 | G_Loss: 1.1559 | G_GAN: 5.9908 | L_Words: -0.9974 | L_Sent: 0.0008 | L_DAMSM: -0.9966 | L_KL: 0.0739 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [47] | D_Loss: 0.9021 | G_Loss: 1.1365 | G_GAN: 5.9753 | L_Words: -0.9979 | L_Sent: 0.0006 | L_DAMSM: -0.9973 | L_KL: 0.0738 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [48] | D_Loss: 1.0447 | G_Loss: 0.9556 | G_GAN: 5.7875 | L_Words: -0.9978 | L_Sent: 0.0021 | L_DAMSM: -0.9957 | L_KL: 0.0733 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [49] | D_Loss: 1.0457 | G_Loss: 3.1598 | G_GAN: 7.9973 | L_Words: -0.9977 | L_Sent: 0.0011 | L_DAMSM: -0.9966 | L_KL: 0.0729 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [50] | D_Loss: 1.0469 | G_Loss: 3.1475 | G_GAN: 7.9750 | L_Words: -0.9981 | L_Sent: 0.0035 | L_DAMSM: -0.9946 | L_KL: 0.0727 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [51] | D_Loss: 1.1105 | G_Loss: 1.2293 | G_GAN: 6.0652 | L_Words: -0.9977 | L_Sent: 0.0015 | L_DAMSM: -0.9962 | L_KL: 0.0725 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [52] | D_Loss: 0.6575 | G_Loss: 3.8484 | G_GAN: 8.6761 | L_Words: -0.9965 | L_Sent: 0.0021 | L_DAMSM: -0.9944 | L_KL: 0.0722 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [53] | D_Loss: 0.8660 | G_Loss: 5.4298 | G_GAN: 10.2544 | L_Words: -0.9969 | L_Sent: 0.0030 | L_DAMSM: -0.9939 | L_KL: 0.0725 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [54] | D_Loss: 1.1779 | G_Loss: 4.6206 | G_GAN: 9.4524 | L_Words: -0.9981 | L_Sent: 0.0028 | L_DAMSM: -0.9952 | L_KL: 0.0723 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [55] | D_Loss: 1.1692 | G_Loss: 5.3849 | G_GAN: 10.2229 | L_Words: -0.9979 | L_Sent: 0.0015 | L_DAMSM: -0.9964 | L_KL: 0.0720 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [56] | D_Loss: 1.1312 | G_Loss: 1.6011 | G_GAN: 6.4419 | L_Words: -0.9980 | L_Sent: 0.0010 | L_DAMSM: -0.9969 | L_KL: 0.0719 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [57] | D_Loss: 0.9312 | G_Loss: 1.5666 | G_GAN: 6.4056 | L_Words: -0.9979 | L_Sent: 0.0015 | L_DAMSM: -0.9964 | L_KL: 0.0715 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [58] | D_Loss: 0.9048 | G_Loss: 3.6194 | G_GAN: 8.4613 | L_Words: -0.9971 | L_Sent: 0.0007 | L_DAMSM: -0.9964 | L_KL: 0.0700 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [59] | D_Loss: 0.8562 | G_Loss: 6.5030 | G_GAN: 11.3491 | L_Words: -0.9983 | L_Sent: 0.0015 | L_DAMSM: -0.9968 | L_KL: 0.0689 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
