nohup: ignoring input
/home/skyvision/.local/lib/python3.10/site-packages/torch/nn/modules/rnn.py:123: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=Inception_V3_Weights.IMAGENET1K_V1`. You can also use `weights=Inception_V3_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using device: cuda:0
Visible GPU IDs for training: [0]
Using Automatic Mixed Precision (AMP)
Train dataset size: 8855 | Batches: 368
Validation dataset size: 2933 | Batches: 123
Variant settings: variant=attenx_sa, attention_mode=single, spectral_norm=on, mhsa_heads=4
Resumed from checkpoint epoch 3
Resumed best_val_loss: 3.0666
Step [1173] | D_Loss: 0.5694 | G_Loss: 10.7410 | G_GAN: 10.7152 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0129 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1174] | D_Loss: 0.5921 | G_Loss: 7.4987 | G_GAN: 7.4711 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0138 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1175] | D_Loss: 0.5612 | G_Loss: 8.6284 | G_GAN: 8.6022 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0131 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1176] | D_Loss: 0.3464 | G_Loss: 11.7197 | G_GAN: 11.6932 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0132 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1177] | D_Loss: 0.7048 | G_Loss: 5.8488 | G_GAN: 5.8224 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0132 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1178] | D_Loss: 0.6505 | G_Loss: 11.7012 | G_GAN: 11.6743 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0135 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1179] | D_Loss: 0.8077 | G_Loss: 7.5763 | G_GAN: 7.5509 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0127 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1180] | D_Loss: 0.8725 | G_Loss: 7.4133 | G_GAN: 7.3866 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0133 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1181] | D_Loss: 0.8423 | G_Loss: 15.3838 | G_GAN: 15.3578 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0130 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1182] | D_Loss: 0.8395 | G_Loss: 8.8421 | G_GAN: 8.8166 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0128 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
